,code,year,month,day_of_month,date,state,magnitude,injuries,fatalities,s_latitude,s_longitude,e_latitude,e_longitude,length,width
43,rKNlthpkbe3Mx5KS6Rbi,2011,4,27,2011-04-27,AL,4,54,13,33.25,-88.18,34.28,-86.35,127.80,1408.00
44,2HFnXW4PD8gsnEmZKmrh,2011,4,27,2011-04-27,AL,4,30,7,32.62,-86.19,32.92,-85.52,44.18,880.00
45,WB6ERKN40E9VyFHrr2R4,2011,4,27,2011-04-27,AL,4,48,6,34.08,-87.01,34.49,-86.36,46.88,880.00
46,S2BfdrIeu0xx3QwsWDri,2011,4,27,2011-04-27,AL,4,0,1,34.79,-85.91,35.07,-85.50,30.24,1320.00
47,XcHqc8xcQ0xUIhZ2ocd6,2011,4,27,2011-04-27,TN,4,12,4,35.34,-85.42,35.68,-84.87,40.16,880.00
48,y2jg4Txy5iVwmzbbphV5,2011,4,27,2011-04-27,TN,4,0,0,35.53,-84.05,35.66,-83.85,14.45,1320.00
49,X3RxPYMeidggDe9PTQVC,2011,4,27,2011-04-27,MS,4,17,7,32.03,-89.50,32.48,-87.49,122.04,1050.00
50,4xtM15w3R4WYx14jGM8A,2011,4,27,2011-04-27,GA,4,335,20,34.87,-85.18,35.37,-84.60,48.00,800.00
51,LlASR6bEfV5MGoCTeU52,2011,4,27,2011-04-27,AL,4,1500,64,33.03,-87.94,33.63,-86.74,80.68,2600.00
52,Btv5O47O6Okx3d9jKGLB,2011,4,27,2011-04-27,AL,4,85,22,33.68,-86.57,34.19,-84.99,97.33,1760.00
53,F6H6YdkrdjnY6oO9KlVp,2011,4,22,2011-04-22,MO,4,5,0,38.74,-90.49,38.73,-90.09,21.30,880.00
54,RNGE1Ypz6LlYnnx2mCuE,2011,4,9,2011-04-09,IA,4,0,0,42.73,-94.86,42.72,-94.79,3.20,587.00
55,o8xwXHFdVzSjde496awC,2010,11,29,2010-11-29,LA,4,0,0,31.79,-92.81,31.95,-92.65,13.96,400.00
56,OAqHQmoaBeFbkWjGoUF3,2010,8,7,2010-08-07,ND,4,0,0,46.11,-96.63,46.15,-96.52,5.00,600.00
57,tLfRHpDaAOkubx4KbJtv,2010,6,25,2010-06-25,IA,4,13,0,43.44,-95.95,43.38,-95.70,13.65,800.00
