,code,year,month,day_of_month,date,state,magnitude,injuries,fatalities,s_latitude,s_longitude,e_latitude,e_longitude,length,width
191,XugTYLTKRbzAXzPzMd1L,1990,6,2,1990-06-02,IN,4,60,6,38.47,-87.48,38.48,-87.25,13.00,200.00
192,t3bg598O59vAZschFFkm,1990,6,1,1990-06-01,TX,4,21,2,31.08,-102.35,30.85,-101.95,22.00,1233.00
193,puUiBndzSAXPkAOy3S78,1990,4,25,1990-04-25,TX,4,0,0,32.78,-97.83,32.90,-97.75,10.00,880.00
194,yQDLYDMNLXso75PQyT4t,1990,3,13,1990-03-13,IA,4,0,0,42.23,-91.42,42.40,-91.12,19.00,200.00
195,VkWZ5yzpmctagTdFHAJ2,1990,3,13,1990-03-13,NE,4,8,0,40.05,-98.53,41.45,-97.00,131.00,440.00
196,9lnzB2UidzLxAxU7hgIQ,1989,11,15,1989-11-15,AL,4,463,21,34.65,-86.65,34.78,-86.37,18.50,880.00
197,HiOiCwSCmF1RkNAYQkut,1989,7,10,1989-07-10,CT,4,40,0,41.38,-72.90,41.32,-72.92,3.00,100.00
198,mGEF1h6NcWZaR3ICbVpl,1989,7,10,1989-07-10,NY,4,20,0,42.83,-74.53,42.38,-74.03,42.00,1320.00
199,1QEj4R5JrqPrfxfYZMpb,1989,5,30,1989-05-30,IA,4,3,0,42.28,-93.17,42.27,-92.97,11.00,200.00
200,dV8NKgGOalFxMBNJkorl,1989,5,24,1989-05-24,IA,4,0,0,40.98,-94.72,40.63,-93.87,49.00,1760.00
201,LG1qHISoOzb7Ogj03XkH,1989,5,24,1989-05-24,IA,4,0,0,42.23,-93.82,42.20,-92.62,66.00,150.00
202,yxQaEIHn0h0hTBG1PpkD,1989,5,16,1989-05-16,TX,4,0,0,29.28,-100.42,29.52,-100.18,17.00,300.00
203,A1wWqGLm5e0gCj2U2sLp,1989,5,5,1989-05-05,NC,4,6,1,34.98,-80.73,35.10,-80.55,13.00,500.00
204,EpdgyRCTKsF5tv68Vzgg,1989,5,5,1989-05-05,SC,4,35,2,35.08,-81.93,35.25,-81.82,15.00,700.00
205,S3XQNvunNT2h01lxbAQU,1989,5,5,1989-05-05,NC,4,52,4,35.47,-81.58,35.68,-81.42,14.00,800.00
206,7kFUxYCOx8YHAALNkG9I,1989,1,7,1989-01-07,IL,4,55,0,38.48,-87.78,38.62,-87.43,19.00,200.00
207,LnJlT55bDYQTszAxmqst,1988,12,24,1988-12-24,TN,4,7,1,35.92,-86.90,36.03,-86.78,6.00,150.00
208,y9DhkO30zJnWueGFo2yV,1988,11,27,1988-11-27,NC,4,154,4,35.87,-78.75,36.45,-77.42,83.00,400.00
209,EY9UF2Zc9Z2qWGl5Rxpe,1988,1,19,1988-01-19,MS,4,1,0,33.15,-89.58,33.27,-89.33,13.00,700.00
210,UZfIbbmJfDmjZv2LvVX8,1987,7,21,1987-07-21,WY,4,0,0,43.90,-110.33,44.21,-110.09,24.30,2550.00
211,h849bSwrqkOIu0nM7Cjb,1987,5,22,1987-05-22,TX,4,121,30,31.00,-103.68,31.03,-103.63,3.00,1000.00
212,qWrm7lvmNRr9GwydIQtU,1987,2,28,1987-02-28,MS,4,350,6,31.50,-89.25,31.85,-88.85,35.00,1230.00
213,9C6Kfk17QgYElRVpWeVM,1986,9,28,1986-09-28,IA,4,0,0,41.75,-93.60,41.77,-93.00,20.00,250.00
214,06iPwhKoBAAyHRgeB2W8,1986,7,28,1986-07-28,NE,4,2,0,42.68,-96.97,42.18,-96.17,52.50,73.00
215,7bkoFFcVqdqVR1AvVxD9,1986,3,12,1986-03-12,MS,4,8,0,32.42,-88.77,32.70,-88.58,23.00,440.00
216,hX6KKfakd1Nv4NHkoFxA,1985,5,31,1985-05-31,PA,4,30,7,41.55,-79.62,41.45,-78.93,29.00,800.00
217,YZvL9RukpQ0RmE95Tpcj,1985,5,31,1985-05-31,PA,4,40,4,41.63,-79.03,41.55,-78.50,29.00,1000.00
218,MOETUoDhez8vm7PWaWH1,1985,5,31,1985-05-31,PA,4,0,0,41.18,-78.67,41.22,-77.32,69.00,3330.00
219,HMAA9H8nwkR8vUaAZ7V3,1985,5,31,1985-05-31,PA,4,0,0,41.93,-79.95,42.05,-79.43,28.00,440.00
220,hRKVMDkgO2c01q6zv7RC,1985,5,31,1985-05-31,OH,4,125,16,41.48,-80.52,41.43,-79.47,56.20,350.00
221,8vrrPJpoE3FMdG0iesQG,1985,5,31,1985-05-31,OH,4,82,12,41.83,-80.55,41.92,-80.28,14.00,400.00
222,Hr2wXMWeoioSRaaTzler,1985,5,10,1985-05-10,KS,4,0,0,39.42,-99.40,39.95,-99.48,33.00,1000.00
223,aLNBfY3VUpQCNVXsQ6BI,1985,5,10,1985-05-10,KS,4,2,0,39.73,-99.15,40.35,-98.45,56.00,1000.00
224,r9E14D02m8CcRXfMpFvo,1984,6,7,1984-06-07,MO,4,64,3,40.42,-94.03,41.58,-91.85,134.00,250.00
225,yWWCxEi077xBH5DS1PA6,1984,4,29,1984-04-29,OK,4,60,1,35.95,-96.50,36.27,-96.20,27.00,200.00
226,q6CwHq59q6mRyz3BzuRE,1984,4,27,1984-04-27,WI,4,14,1,42.98,-88.37,43.08,-88.20,6.50,10.00
227,HSEEFHl0psjIr6uOvUyJ,1984,4,27,1984-04-27,WI,4,19,1,44.08,-88.75,44.45,-88.30,27.50,60.00
228,Wj6AZuLaNfqcxVVdfdWx,1984,4,26,1984-04-26,OK,4,37,3,36.08,-96.60,36.20,-96.32,22.00,880.00
229,MftHnSKnPm1voAmJXDkT,1984,3,28,1984-03-28,NC,4,153,16,35.33,-77.78,35.68,-77.20,28.00,1223.00
230,zaDoc90wof10uXB74PML,1984,3,28,1984-03-28,SC,4,100,7,34.65,-79.75,34.68,-79.43,17.00,2113.00
231,hylfsryxE3FK9B5Pxevl,1984,3,28,1984-03-28,SC,4,49,5,34.37,-81.32,34.42,-80.92,21.00,1000.00
232,cNpHBhpsNuC5aLeZWFHK,1984,3,28,1984-03-28,SC,4,395,4,34.63,-79.60,34.93,-78.88,40.00,2600.00
233,uVY8Lwbjywrb3j30tJOS,1984,3,28,1984-03-28,SC,4,24,0,34.58,-79.92,34.62,-79.82,7.00,700.00
234,yqUCPxfJJQ8qKRImIvrg,1984,3,28,1984-03-28,SC,4,36,0,34.53,-80.63,34.60,-80.58,4.00,530.00
235,tPHQ56XSaqMTKwoiN1lT,1984,3,28,1984-03-28,NC,4,149,3,35.05,-78.25,35.27,-77.93,21.00,1407.00
236,VwkjM32yzcprPASXoFrl,1984,3,15,1984-03-15,AR,4,13,2,35.58,-92.45,35.65,-91.60,41.00,440.00
237,SzF2uhrtnspzbmlLVb4t,1984,3,15,1984-03-15,AR,4,12,5,35.47,-91.23,35.53,-90.90,26.00,440.00
238,Ue2ZUncIt2ZCKdqvUY2f,1983,12,6,1983-12-06,LA,4,25,0,30.07,-90.52,30.08,-90.42,7.00,200.00
239,e4EjyU3v8mVRBAgCvT6x,1983,7,3,1983-07-03,MN,4,4,0,45.22,-93.32,0.00,0.00,1.00,67.00
240,7ViiWwHrUYbFsj5xTn1g,1983,7,3,1983-07-03,WI,4,0,0,42.97,-90.13,0.00,0.00,0.50,50.00
241,1GGbcWIJ8aFUwyMcF77B,1983,4,1,1983-04-01,LA,4,20,2,32.65,-92.02,32.70,-91.87,9.00,1000.00
242,W86psRYdaba3BCCGEKWb,1982,12,24,1982-12-24,AR,4,11,0,36.18,-91.62,37.08,-90.98,63.00,440.00
243,YJks07X3FtMRThbhXIyb,1982,5,29,1982-05-29,IL,4,181,10,37.80,-89.13,37.72,-88.83,17.00,400.00
244,eRAmFYcBSMhZmvHbKzHE,1982,4,2,1982-04-02,AR,4,23,3,33.93,-94.28,33.87,-93.50,45.00,200.00
245,fw568FptKP6GO3YjHTE0,1982,4,2,1982-04-02,TX,4,170,10,33.65,-95.63,33.68,-95.23,23.00,250.00
246,ff5q0ocHbUVhJYDIOsmv,1982,4,2,1982-04-02,MO,4,28,2,36.57,-92.22,36.75,-91.85,20.00,500.00
247,yELYFw3xtZM4nFaTOGll,1982,3,18,1982-03-18,TX,4,12,0,36.02,-101.73,36.82,-100.52,88.00,880.00
248,hPcyVMn2yk3dhnb1G3P3,1981,5,22,1981-05-22,OK,4,0,0,35.32,-98.37,35.43,-98.12,16.70,1333.00
249,WXcl9JhIoxJvcFQktmtl,1981,5,17,1981-05-17,OK,4,2,0,35.35,-96.60,35.60,-96.10,33.60,600.00
250,K3PICRVK4KE3fZcQtzpH,1981,5,13,1981-05-13,TX,4,30,0,33.77,-95.70,33.78,-95.55,8.80,400.00
251,aKeNBVAVfcrfaf6wsYFu,1981,4,22,1981-04-22,MO,4,32,1,36.60,-90.42,36.90,-89.33,63.00,400.00
252,K5Il8uYvMUdqPxD2cn87,1981,4,4,1981-04-04,WI,4,53,3,43.43,-88.20,0.00,0.00,1.80,100.00
253,7KVc4Uxu87q91kWccRpd,1981,4,3,1981-04-03,IL,4,32,0,38.72,-90.13,38.82,-89.95,11.90,567.00
254,Wtk9K4WIkWTCytFxV3UG,1981,3,29,1981-03-29,IL,4,0,0,41.68,-89.95,41.75,-89.88,5.10,33.00
255,fIbYBzpubnshPAqXktZb,1980,7,9,1980-07-09,IN,4,25,2,39.62,-85.48,39.52,-85.37,11.00,267.00
256,kAnuNnGfniq4gjk1IvZO,1980,6,3,1980-06-03,PA,4,140,0,40.65,-79.73,40.58,-79.50,11.80,10.00
257,1Bj2XgPNyoJ7daBsesGg,1980,6,3,1980-06-03,NE,4,110,3,40.92,-98.30,40.90,-98.30,1.10,1700.00
258,y6UT1l75hRntXHwTuuWq,1980,6,2,1980-06-02,IA,4,0,0,40.62,-93.92,40.58,-93.32,31.20,140.00
259,Q4v72uQNS5clgRKrGDn8,1980,4,2,1980-04-02,TX,4,0,0,33.60,-99.18,33.68,-99.08,8.40,250.00
260,3vehJA2lyYtSC1L5VYB0,1979,10,3,1979-10-03,CT,4,500,3,41.88,-72.67,42.05,-72.70,11.30,1400.00
261,eEWjkrMkJBSucI5ema6r,1979,6,29,1979-06-29,IL,4,1,0,41.52,-88.23,41.60,-88.20,5.40,100.00
262,rM1RXy0uPLts28h1efcI,1979,6,28,1979-06-28,IA,4,26,3,42.63,-94.60,42.45,-94.43,14.90,33.00
263,NoMDb0vSQAfjfdiByCbK,1979,5,2,1979-05-02,OK,4,25,1,36.45,-98.35,36.35,-98.00,20.60,880.00
264,WqTlZSrAnj23fJWax0Ja,1979,4,10,1979-04-10,TX,4,1740,42,33.82,-98.65,34.18,-97.98,46.90,1320.00
265,6VTfA7CKQ4UGwEFL9XdM,1979,4,10,1979-04-10,TX,4,68,11,34.20,-99.15,34.27,-98.98,39.70,880.00
266,BrEc7zSLcjl6DWzPtaBx,1979,3,29,1979-03-29,MO,4,20,0,40.48,-95.15,40.70,-94.92,18.80,500.00
267,kItVYKZ82y9yLGrFPoQ1,1978,12,3,1978-12-03,LA,4,266,2,32.50,-93.75,32.57,-93.68,6.20,400.00
268,e3LH2IxvmcAdUHt17cFg,1978,7,4,1978-07-04,ND,4,35,5,46.40,-101.88,46.40,-101.33,26.00,250.00
269,4sfvSugWnWhr3e5Zk4WV,1978,4,30,1978-04-30,OK,4,0,0,35.58,-97.75,35.68,-97.63,9.30,1760.00
270,3RXQ8UvpSEhQP8daNvmx,1978,4,18,1978-04-18,MS,4,31,4,31.55,-90.12,31.67,-89.83,19.10,100.00
271,7jnmKKkXcUjHTxBlXbKL,1978,4,17,1978-04-17,MS,4,3,0,33.47,-91.00,33.50,-90.95,3.60,100.00
272,Yah5BwB0vSJtK1wkYrH4,1978,4,7,1978-04-07,NE,4,1,0,40.87,-98.27,41.12,-97.75,31.20,77.00
273,UW7WmPjnauCF9TT3IUS3,1978,4,7,1978-04-07,NE,4,0,0,41.18,-97.42,41.30,-97.37,8.00,50.00
274,B6YvGkXMcbghDqua7G2O,1977,8,31,1977-08-31,WI,4,10,0,44.78,-90.10,44.97,-89.50,31.80,1000.00
275,thn6o8SGDLnkUNP8L5rd,1977,7,30,1977-07-30,WI,4,20,0,45.10,-91.53,45.27,-91.22,19.00,300.00
276,osiMhOlBeGA4y7hZF21f,1977,7,7,1977-07-07,NE,4,0,0,42.15,-96.70,42.00,-96.25,22.60,77.00
277,KljBm3fqsuhXc1ng87Vp,1977,5,18,1977-05-18,OK,4,0,0,36.65,-102.40,37.13,-102.07,38.60,440.00
278,rpR1kYnPwcFCxiWjzNB2,1977,5,5,1977-05-05,IL,4,2,0,40.25,-89.25,40.33,-89.12,7.30,1000.00
279,Js6iRzAHFmslpsNKWEne,1977,5,4,1977-05-04,MO,4,5,0,39.22,-94.30,39.23,-94.28,12.00,400.00
280,79705WbGu9IxeS53xpXm,1977,5,4,1977-05-04,MO,4,1,0,39.32,-94.00,39.43,-93.12,48.60,880.00
281,7idl40RJOLbHCOtN3u2r,1977,5,4,1977-05-04,IA,4,14,0,42.53,-94.15,0.00,0.00,2.00,70.00
282,lWUmDMwzhWK17ua4Ri2r,1977,4,2,1977-04-02,MI,4,10,0,42.28,-85.55,42.35,-85.32,12.40,183.00
283,VlIoT8DG2C5aWmBRNJ81,1977,4,2,1977-04-02,MI,4,44,1,42.43,-85.02,42.53,-84.72,16.60,613.00
284,iiP1PkZZqoB22zJvX4Je,1977,2,23,1977-02-23,MS,4,5,2,33.02,-89.23,33.18,-89.07,15.00,350.00
285,w8uMle9bUUakdViTKa49,1976,6,29,1976-06-29,IL,4,0,0,40.80,-89.75,40.83,-89.65,4.90,40.00
286,lGX92BcoKsLgbHIwbhoa,1976,6,26,1976-06-26,IA,4,6,0,41.45,-95.60,41.48,-95.50,5.10,200.00
287,kmVkQxivPloEcOdY9V2Q,1976,6,13,1976-06-13,IL,4,23,2,41.67,-88.00,41.73,-87.92,3.30,1760.00
288,A6SwLxdGstfB3Gj5axzZ,1976,5,26,1976-05-26,TX,4,0,0,32.27,-97.28,32.18,-97.00,18.80,300.00
289,jpcuKVoQilXcz6pfagMG,1976,4,17,1976-04-17,KS,4,2,0,37.07,-98.53,37.32,-98.37,19.50,100.00
290,c3xe9Bgb8AiTNo2lFKro,1976,4,17,1976-04-17,OK,4,6,0,34.88,-98.52,35.30,-98.23,32.90,440.00
291,i8P59p3DcnE8LIJNNWUx,1976,3,29,1976-03-29,MS,4,177,3,32.58,-90.22,32.72,-89.87,22.30,880.00
292,LV9fqkizUNWU9PNiJUCX,1976,3,29,1976-03-29,MS,4,8,0,31.78,-90.65,32.43,-88.65,126.50,880.00
293,uyQJsR99F4Zfqmme8eOm,1976,3,26,1976-03-26,MS,4,11,0,31.78,-90.02,31.90,-89.73,18.50,880.00
294,8JPOSMjh2qc0tQnlihLd,1976,3,26,1976-03-26,OK,4,4,1,34.77,-95.08,34.87,-94.95,10.70,440.00
295,4KVHvaDtHOB909xiYd99,1976,3,20,1976-03-20,IL,4,18,0,39.80,-88.80,40.20,-87.68,63.70,800.00
296,BUc1c7Wm509Nx7xIrVwT,1976,3,20,1976-03-20,MI,4,55,1,42.52,-83.42,42.55,-83.33,3.80,117.00
297,DxbRcdNAc09zQSp7rBNb,1976,3,20,1976-03-20,IN,4,8,0,40.47,-87.00,40.60,-86.72,16.70,300.00
298,pDBI91F0H7fNqTvrpABn,1975,6,29,1975-06-29,ND,4,4,1,46.53,-102.97,46.33,-101.57,68.00,880.00
299,dPwXJ8zMhkIzSXR2qQ8X,1975,6,28,1975-06-28,MN,4,0,0,46.87,-96.73,46.95,-96.68,5.40,1320.00
300,vPJPMaERaYKw0kBxztN0,1975,6,18,1975-06-18,NE,4,0,0,41.35,-100.22,41.57,-100.28,15.20,10.00
301,dx4Wh1Jhv4MLuvpf9vcH,1975,5,6,1975-05-06,NE,4,0,0,42.20,-97.57,42.27,-97.53,4.10,300.00
302,MM90YCiXu957F5MFBpIx,1975,5,6,1975-05-06,NE,4,133,3,41.17,-96.07,41.28,-96.02,8.00,267.00
303,QkbTJw0Y9X7yeLZfmEco,1975,4,24,1975-04-24,MO,4,22,3,36.83,-94.58,36.87,-94.37,11.90,500.00
304,mrW4k4z6b30aSoPyItBI,1975,4,23,1975-04-23,MO,4,3,1,39.70,-93.97,39.77,-93.77,11.40,400.00
305,0Jmskg7mHOvdohe9tkGb,1975,4,23,1975-04-23,MO,4,4,1,39.68,-92.67,39.67,-92.13,28.20,1700.00
306,TLnGoXe0bOQaWiVG8jKH,1975,3,28,1975-03-28,AR,4,51,7,33.55,-92.12,33.62,-92.07,5.40,250.00
307,0m9Pe9Z2jamr1TQi5K7z,1975,2,23,1975-02-23,AL,4,49,1,33.08,-87.60,33.25,-87.45,14.40,500.00
308,dPSMN3XL12rEwOLB7iU7,1975,1,10,1975-01-10,MS,4,210,9,31.18,-90.53,31.87,-89.97,56.50,200.00
309,39zIXW4r1sjmZejMKzXc,1974,8,12,1974-08-12,IA,4,12,0,42.35,-91.48,0.00,0.00,5.00,400.00
310,K1XB07MGzZ2elOjHudUG,1974,8,12,1974-08-12,IA,4,2,0,41.75,-92.18,0.00,0.00,2.00,100.00
311,jA9pywLV4kaI4wcywc4V,1974,6,18,1974-06-18,IA,4,50,2,41.73,-93.62,41.52,-93.53,15.30,400.00
312,sbTi6McjQhrhOvHuQlev,1974,6,8,1974-06-08,KS,4,177,6,38.42,-96.22,38.90,-95.87,37.50,1760.00
313,y6bQ4KsFQCm1WMxWnMq2,1974,6,8,1974-06-08,OK,4,150,14,35.95,-96.65,36.42,-96.07,29.00,400.00
314,KJpeET7gR496G2Ty53C6,1974,4,21,1974-04-21,WI,4,35,0,43.75,-88.83,44.07,-88.53,26.00,200.00
315,Z9Q8DftmzzvZpJPEErUf,1974,4,3,1974-04-03,IN,4,285,18,40.50,-87.13,41.58,-85.43,108.70,1760.00
316,jHe82ByzpZ8A5X44JaG4,1974,4,3,1974-04-03,TN,4,121,11,35.00,-86.50,35.32,-86.08,27.50,800.00
317,LjehRrKBuB8Hd8iNINhE,1974,4,3,1974-04-03,TN,4,51,10,36.03,-85.57,36.25,-85.13,28.40,700.00
318,7QQvKlwp9xowYh5ewnpf,1974,4,3,1974-04-03,TN,4,150,7,36.25,-85.08,36.43,-84.83,18.80,200.00
319,paHj1l4oyQ3HQzveLPU7,1974,4,3,1974-04-03,TN,4,6,5,36.52,-85.08,36.63,-84.88,11.00,300.00
320,Bj9AIirUf1OESwOlTHdC,1974,4,3,1974-04-03,OH,4,39,2,39.18,-84.48,39.43,-84.28,19.80,350.00
321,HIeWIeEx77xT8163JxXV,1974,4,3,1974-04-03,KY,4,113,10,36.65,-85.37,36.93,-84.77,38.40,10.00
322,M6XcyNa6EFhbAXl9cXgT,1974,4,3,1974-04-03,KY,4,28,7,37.72,-84.50,38.03,-84.07,31.90,10.00
323,hJErx92GEbs0PLU3fiym,1974,4,3,1974-04-03,KY,4,122,4,38.05,-85.07,38.38,-84.53,79.40,10.00
324,NeOAAlvo8WSBxgfuhvup,1974,4,3,1974-04-03,KY,4,81,3,37.72,-85.90,38.00,-85.30,37.90,10.00
325,bmVOeLLMNkBL1ltmeV66,1974,4,3,1974-04-03,KY,4,225,3,38.20,-85.75,38.37,-85.48,18.50,10.00
326,QXAVflctFC2ZhoLg5nkb,1974,4,3,1974-04-03,KY,4,0,0,36.63,-84.78,36.75,-84.53,16.10,10.00
327,5jIaM4MxkgFuIp7VkDIp,1974,4,3,1974-04-03,KY,4,56,0,37.22,-85.47,37.38,-85.17,20.20,10.00
328,qtQZOBJ4I2erIxpPDwZg,1974,4,3,1974-04-03,KY,4,2,0,37.42,-86.57,37.50,-86.33,14.00,150.00
329,YbkurqMcOPkvvul5pwAj,1974,4,3,1974-04-03,IN,4,190,11,38.55,-85.75,38.93,-85.25,35.60,1200.00
330,9be5EeK5XkRlzyqNoTT9,1974,4,3,1974-04-03,IN,4,17,4,39.13,-85.72,39.47,-85.18,35.60,1200.00
331,tYeB623WNZjmFL8rgHvD,1974,4,3,1974-04-03,IN,4,12,1,40.05,-85.27,40.32,-85.03,18.00,1400.00
332,EAgfaQrpudCqxg1lyNYR,1974,4,3,1974-04-03,IN,4,104,0,38.77,-85.27,39.05,-84.90,27.10,1133.00
333,HtVedQRoXKmzGoijiPmO,1974,4,3,1974-04-03,IN,4,17,0,39.75,-85.65,39.98,-85.45,18.90,10.00
334,xhlwkjLd5AdoxXlxaZ07,1974,4,3,1974-04-03,GA,4,67,9,34.50,-85.05,34.80,-84.70,29.50,200.00
335,4VrRhY7wZW1TA0ZUhG2I,1974,4,3,1974-04-03,GA,4,30,6,34.37,-84.33,34.53,-84.12,17.70,200.00
336,RL3Bvc4F0nldhLS91Amo,1974,4,3,1974-04-03,GA,4,26,4,34.95,-84.30,35.15,-83.95,24.00,400.00
337,cnthBtrjDOv1qhju8VfU,1974,4,3,1974-04-03,AL,4,178,3,33.27,-88.20,34.27,-86.70,110.60,500.00
338,SEZRuTPiVAUWx4Bu5QDM,1973,12,13,1973-12-13,SC,4,0,2,34.18,-82.02,0.00,0.00,1.00,50.00
339,vnNJHeGw1FT9Rvw7RsNG,1973,8,28,1973-08-28,NY,4,36,4,42.42,-73.42,42.27,-73.38,9.80,313.00
340,4AUACgnycZHPn2OyhnHC,1973,5,27,1973-05-27,AL,4,199,7,32.53,-87.80,33.53,-85.75,139.10,800.00
341,MQaGeCtRAEKIutUBfvU9,1973,5,26,1973-05-26,OK,4,25,5,35.55,-95.32,35.58,-95.27,3.60,500.00
342,h57yqi32ltmyD7N6JyuR,1973,5,26,1973-05-26,AR,4,289,3,35.27,-91.37,35.83,-90.68,54.80,300.00
343,ktaZLhP2FofJgVacyTsz,1973,5,24,1973-05-24,OK,4,4,2,35.40,-97.97,35.30,-97.77,13.30,300.00
344,v3cgbL7cGQg16ogQOX2D,1973,5,19,1973-05-19,AL,4,19,0,34.47,-85.75,34.50,-85.67,5.40,400.00
345,hV9Xk7uBIuFxW8bm1XVL,1973,4,21,1973-04-21,MO,4,1,0,40.33,-93.55,40.47,-93.32,14.60,440.00
346,FJfzRPil6h58rz3CxTA7,1973,4,20,1973-04-20,MO,4,3,1,39.93,-92.48,39.98,-92.43,3.80,440.00
347,eRJkaTpOFRfEw8UAf1IF,1973,4,19,1973-04-19,MO,4,5,0,38.53,-93.53,0.00,0.00,10.00,880.00
348,p1dr54zod6Fd9a1zVH7z,1973,4,15,1973-04-15,TX,4,12,5,28.83,-99.22,28.82,-98.83,23.30,440.00
349,kVkEbRqbfV0KxaVXuRl9,1973,3,31,1973-03-31,SC,4,30,7,34.08,-82.57,34.27,-82.25,22.60,200.00
350,1rxgc5ZylUMydUCivQBP,1973,3,10,1973-03-10,TX,4,77,6,31.53,-96.83,31.85,-96.80,23.30,150.00
351,hi7bTSV9VQyS3oIQXwJZ,1972,9,28,1972-09-28,IL,4,20,0,42.28,-87.87,42.37,-87.83,5.20,220.00
352,9u0PJwlh1FOn4tlyh4ls,1972,5,14,1972-05-14,IN,4,20,0,39.77,-86.08,40.00,-85.55,30.00,200.00
353,ojFDjZODb4KPRcRfu31M,1972,4,30,1972-04-30,KS,4,1,0,38.08,-100.10,38.30,-99.68,26.60,77.00
354,1KVdFWJKvx4rVq1A0Aa6,1972,4,19,1972-04-19,OK,4,6,5,34.38,-97.55,34.55,-97.18,28.20,10.00
355,6XuAMduy5C5SRlkp74GZ,1971,7,12,1971-07-12,IA,4,8,0,43.23,-92.45,43.07,-92.05,10.90,1320.00
356,37z4jjSDLf1CCBSMspgB,1971,6,9,1971-06-09,TX,4,0,0,36.27,-101.40,36.43,-101.20,15.90,1760.00
357,xSjTfAEv4Nijj83z4gAk,1971,6,9,1971-06-09,TX,4,0,0,36.03,-101.82,36.08,-101.73,5.90,1320.00
358,G9Tc6GFlVNDqooZxz9Jf,1971,5,7,1971-05-07,TN,4,137,3,36.07,-88.78,35.88,-87.90,50.90,100.00
359,OpUAEgs7aJeuEQKEddzq,1971,4,27,1971-04-27,KY,4,72,2,37.08,-85.07,37.07,-84.83,13.00,100.00
360,Z9kc4OrmWFud3g0WelCW,1971,4,27,1971-04-27,KY,4,58,6,37.15,-85.45,37.13,-85.20,14.10,100.00
361,w9Uu68INgVSqGtqeMxqY,1971,4,23,1971-04-23,AL,4,0,0,31.50,-87.30,31.77,-87.00,25.40,300.00
362,tewwJiNgRK5ulwQ71DiO,1971,3,12,1971-03-12,TX,4,5,1,33.48,-94.48,33.50,-94.40,5.10,880.00
363,6iD4dIpllt7fqvJVcJzF,1971,2,21,1971-02-21,MS,4,182,13,32.33,-90.73,33.10,-90.10,65.20,10.00
364,sQrpciBXgzr6uywQ7ZEm,1971,2,21,1971-02-21,MS,4,795,58,32.70,-91.02,35.03,-88.92,202.10,100.00
365,FWFwGPslB7j4HsnZ4BAn,1970,10,5,1970-10-05,OK,4,84,4,35.33,-96.93,35.53,-96.57,25.00,150.00
366,YOCk3EUyXGrnLycL1ZPU,1970,6,12,1970-06-12,MO,4,0,0,39.55,-92.88,39.72,-92.67,16.10,400.00
367,YESKuth2oRFcHIKtS8Mo,1970,4,27,1970-04-27,TN,4,85,3,36.45,-87.13,36.55,-86.37,42.60,250.00
368,uQfBNUgp8IiyOjxyBPjj,1970,4,19,1970-04-19,MS,4,78,4,34.72,-89.00,35.05,-88.27,47.60,100.00
369,qNbriLCigHuOXNfhcqAY,1970,4,18,1970-04-18,TX,4,42,16,34.65,-101.53,35.23,-100.65,65.00,880.00
370,fKlpswZiHFLZ4c79N0rW,1970,4,17,1970-04-17,TX,4,24,0,33.60,-102.63,33.82,-102.20,30.00,880.00
371,fSAVVcbO108QH0R4Ma9m,1970,4,17,1970-04-17,TX,4,51,5,34.00,-101.98,34.85,-100.68,96.60,880.00
372,4SFnPTyFKkfCK5MNc60G,1970,4,17,1970-04-17,TX,4,13,1,34.38,-102.62,35.60,-100.88,130.00,880.00
373,IbwxdcITDky7mexIBGT2,1969,8,6,1969-08-06,MN,4,70,12,46.78,-94.22,46.97,-93.57,32.30,833.00
374,K7KyDgfMciFC1BzMLFh9,1969,7,7,1969-07-07,SD,4,0,0,45.28,-103.75,0.00,0.00,1.80,133.00
375,HNjWPGBgXYs56Ty09kfd,1969,6,23,1969-06-23,KS,4,6,0,37.65,-97.65,37.60,-97.50,8.70,700.00
376,GeZvGSCdvPSfq70CvdHH,1969,6,22,1969-06-22,MO,4,22,2,37.95,-91.10,38.00,-90.73,20.20,800.00
377,OpRxDbHIi9o6Nz1h7duq,1969,6,22,1969-06-22,MO,4,14,4,37.73,-90.55,37.72,-90.27,15.10,440.00
378,P1krqoCEaFN5IiXHCc81,1969,4,18,1969-04-18,AL,4,14,2,31.83,-86.63,32.22,-85.88,52.40,500.00
379,pjOOHR6BUYsoGusw41UG,1969,1,23,1969-01-23,MS,4,241,32,31.68,-91.05,32.30,-89.20,117.80,200.00
380,hGsU9SAKMWoAbT29KHXT,1968,8,19,1968-08-19,WI,4,3,2,45.08,-88.08,45.07,-87.63,21.80,33.00
381,Yq9hZz8JAOLbgGE6Av6r,1968,5,15,1968-05-15,AR,4,364,35,35.73,-91.18,35.90,-90.03,20.90,250.00
382,ysunOA2Q4bRDGEvaiJ9l,1968,5,15,1968-05-15,AR,4,24,7,35.65,-91.47,0.00,0.00,0.30,300.00
383,L8hWcuu9xXMpedAkHGJC,1968,4,23,1968-04-23,KY,4,364,6,38.67,-84.37,38.88,-82.92,78.70,550.00
384,HfHCYAk6mB9GitWIIn4V,1968,4,23,1968-04-23,OH,4,33,1,39.10,-84.27,39.28,-83.87,24.10,300.00
385,ULSLH6s679eHRCduFkEk,1968,4,19,1968-04-19,AR,4,270,14,35.20,-94.27,0.00,0.00,2.00,300.00
